id,mevcut_sınıf,mevcut_severity,mevcut_R1_mi,claude_karar,other_ai_karar,uzlaşı_sınıf,uzlaşı_authority_source,uzlaşı_confidence,spec_anchor,normatif_ibare,round2_required,r1_değişimi,gerekçe,notlar
ARC_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),ZIP arşivi açılamadı
ARC_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Quality/GTFS_BEST_PRACTICE/LOW,Quality,GTFS_BEST_PRACTICE,LOW,File Requirements (UTF-8 'should'),should (öneri),false,KALKAR,"Spec fetch: UTF-8 'should' düzeyinde — best-practice, Spec DEĞİL",Dosya UTF-8 ile okunamıyor
ARC_004,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#dataset_files,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Zorunlu dosya eksik
ARC_008,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#dataset_files,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Takvim dosyası eksik (calendar.txt ve calendar_dates.txt)
ARC_009,Spec,Kritik,EVET,Spec/GTFS_SPEC/MEDIUM,Quality/PROJECT_QUALITY/MEDIUM,Quality,PROJECT_QUALITY,MEDIUM,—,yok,true,KALKAR,İki pas da MEDIUM; boş dosya için açık anchor yok → round2,Dosyada veri satırı yok
ARC_012,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Satır sütun sayısı başlıkla uyuşmuyor
ARC_013,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#dataset_files,Normatif kısıt,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),CSV ayrıştırma hatası
ARC_015,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Quality/PROJECT_QUALITY/MEDIUM,Quality,PROJECT_QUALITY,MEDIUM,—,yok,true,KALKAR,Mükerrer başlık açık yasak değil; yapısal çıkarım → round2,Yinelenen başlık sütunu
ARC_019,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Quality/PROJECT_QUALITY/MEDIUM,Quality,PROJECT_QUALITY,MEDIUM,—,yok,true,—,Boş kolon adı açık yasak değil → round2,Başlıkta boş sütun adı
ARC_023,Spec,Orta,hayır,Quality/PROJECT_QUALITY/MEDIUM,Quality/PROJECT_QUALITY/LOW,Quality,PROJECT_QUALITY,MEDIUM,—,yok,true,—,Nested ZIP spec'te açıkça yasaklı değil; parser uyumu → kalite/interop,ZIP içinde nested ZIP dosyası — GTFS formatında desteklenmez
ARC_024,Spec,Orta,hayır,Interop/MOBILITYDATA_PARITY/MEDIUM,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,File Requirements — root level 'must',must: dosyalar kök dizinde,false,—,Spec fetch: 'files must reside at the root level' — Spec'e döndü,GTFS .txt dosyası ZIP içinde alt dizinde — standart parser'lar tarafından atlanır
ARC_025,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#dataset_files,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Zorunlu sütun başlıkta hiç yok (header'da eksik)
ARC_029,Spec,Kritik,EVET,Quality/PROJECT_QUALITY/LOW,Quality/PROJECT_QUALITY/LOW,Quality,PROJECT_QUALITY,LOW,—,yok,false,KALKAR,"Zip-bomb koruması proje-özel güvenlik kontrolü; GTFS normu DEĞİL (fatal guard, sınıfı tartışılmalı)",Sıkıştırma koruması: arşiv zip-bomb sınırını aştı
ARS_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#areastxt,Birincil anahtar benzersizliği (uniqueness),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),area_id yineleniyor
ATR_001,Spec,Yuksek,hayır,Quality/PROJECT_QUALITY/LOW,Spec/GTFS_SPEC/HIGH,Quality,PROJECT_QUALITY,MEDIUM,attributions.txt#attribution_id,yok (Optional?),true,—,Ben: Optional→non-Spec; diğer AI: Spec. attributions.txt doğrulaması gerek → round2,attribution_id eksik
ATR_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),organization_name eksik
ATR_003,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Normatif kısıt,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Attribution rolü tanımlanmamış
ATR_004,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),is_producer geçersiz
ATR_005,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),is_operator geçersiz
ATR_006,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),is_authority geçersiz
ATR_007,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),attribution_url geçersiz
ATR_008,Spec,Dusuk,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),attribution_email geçersiz
ATR_009,Spec,Yuksek,hayır,Quality/PROJECT_QUALITY/MEDIUM,Spec/GTFS_SPEC/HIGH,Quality,PROJECT_QUALITY,MEDIUM,—,yok,true,—,Ben: phone katı format yok→non-Spec; diğer AI: Spec → round2,attribution_phone geçersiz
ATR_010,Spec,Dusuk,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#attributionstxt,Yabancı anahtar (foreign key),false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_id bulunamadı
BKR_001,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Önceki gün rezervasyon alanı yasak bağlamda dolu
BKR_002,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_start_day yalnızca prior_notice_last_day ile kullanılabilir
BKR_003,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_start_time yalnızca prior_notice_start_day ile kullanılabilir
BKR_004,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Anlık rezervasyonda prior_notice alanları yasak
BKR_005,Spec,Orta,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_duration_max yalnızca booking_type=1 ile geçerli (booking_type=0/2 ile yasak)
BKR_006,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_duration_min geçersiz (≤ 0 veya sayısal değil)
BKR_007,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),booking_type=1 için prior_notice_duration_min zorunlu
BKR_008,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),booking_type=2 için prior_notice_last_day zorunlu
BKR_009,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),booking_type=2 için prior_notice_last_time zorunlu
BKR_010,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_start_day belirtilmişse prior_notice_start_time zorunlu
BKR_011,Spec,Yuksek,hayır,Interop/MOBILITYDATA_PARITY/MEDIUM,Spec/GTFS_SPEC/HIGH,Interop,MOBILITYDATA_PARITY,MEDIUM,—,yok (spec açık ordering/monotonluk normu yok),false,—,Spec fetch: açık normatif cümle yok → Spec dışı; MD-parite/Interop,prior_notice_last_day > prior_notice_start_day: rezervasyon penceresi geçersiz
CAL_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendartxt,Birincil anahtar benzersizliği (uniqueness),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),service_id yineleniyor
CAL_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendartxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Takvim gün alanı geçersiz değer
CAL_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendartxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),start_date eksik veya geçersiz format
CAL_004,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendartxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),end_date eksik veya geçersiz format
CAL_005,Spec,Kritik,EVET,Interop/MOBILITYDATA_PARITY/MEDIUM,Spec/GTFS_SPEC/HIGH,Interop,MOBILITYDATA_PARITY,MEDIUM,—,yok (spec açık ordering/monotonluk normu yok),false,KALKAR,Spec fetch: açık normatif cümle yok → Spec dışı; MD-parite/Interop,start_date end_date'den sonra
CAL_022,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendartxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),service_id eksik
CLD_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendar_datestxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),service_id eksik
CLD_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendar_datestxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),date eksik veya geçersiz format
CLD_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#calendar_datestxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),exception_type eksik veya geçersiz
CLD_005,Spec,Kritik,EVET,Quality/PROJECT_QUALITY/MEDIUM,Quality/PROJECT_QUALITY/LOW,Quality,PROJECT_QUALITY,MEDIUM,—,yok,true,KALKAR,"""Makul yıl aralığı"" heuristik eşik; spec yalnız YYYYMMDD format ister, aralık değil",Tarih makul yıl aralığı dışında
DQ_021,Spec,Yuksek,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/MEDIUM,Spec,GTFS_SPEC,MEDIUM,#term_definitions,Birincil anahtar benzersizliği (uniqueness),true,round2 (R1 anchora bağlı),İki pas confidence farklı → katı (MEDIUM) alındı; anchor ispatı gerek → round2,Birincil anahtar yineleniyor — genel ikincil sinyal (STP_001/RTS_001 gibi entity-level kurallarla örtüşebilir)
FAR_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Birincil anahtar benzersizliği (uniqueness),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_id yineleniyor
FAR_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),price eksik veya geçersiz
FAR_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),currency_type eksik
FAR_004,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),payment_method geçersiz
FAR_005,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),transfers geçersiz
FAR_006,Spec,Orta,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),transfer_duration geçersiz
FAR_008,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_id bulunamadı
FAR_011,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),payment_method eksik
FAR_012,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_id eksik
FIN_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_publisher_name eksik
FIN_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_publisher_url eksik veya geçersiz
FIN_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_lang eksik
FIN_004,Spec,Orta,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),default_lang geçersiz
FIN_005,Spec,Orta,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_start_date geçersiz
FIN_006,Spec,Yuksek,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_end_date geçersiz format (geçmiş tarih için FIN_010 kullanın)
FIN_008,Spec,Dusuk,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_contact_email geçersiz
FIN_009,Spec,Dusuk,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_contact_url geçersiz
FLG_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_product_id bulunamadı
FLG_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),network_id bulunamadı
FLG_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),from_area_id bulunamadı
FLG_004,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),to_area_id bulunamadı
FLG_005,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),from_timeframe_group_id bulunamadı
FLG_006,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),to_timeframe_group_id bulunamadı
FLG_007,Spec,Orta,hayır,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Enum / format kısıtı,false,—,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),rule_priority geçersiz
FMD_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_mediatxt,Birincil anahtar benzersizliği (uniqueness),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_media_id yineleniyor
FMD_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_mediatxt,Required + format/enum,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_media_type eksik veya geçersiz
FPD_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/MEDIUM,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,MEDIUM,#fare_productstxt,Birincil anahtar (bileşik),true,round2 (R1 anchora bağlı),İki pas confidence farklı → katı (MEDIUM) alındı; anchor ispatı gerek → round2,fare_product_id yineleniyor
FPD_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Required alan/dosya,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),amount eksik veya negatif
FPD_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),currency geçersiz ISO 4217 kodu
FPD_004,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_media_id bulunamadı
FPD_005,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),rider_category_id bulunamadı
FPD_006,Spec,Orta,hayır,Spec/GTFS_SPEC/MEDIUM,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,MEDIUM,#fare_productstxt,Koşullu kısıt,true,—,İki pas confidence farklı → katı (MEDIUM) alındı; anchor ispatı gerek → round2,Bir fare_product için birden fazla varsayılan rider category
FRL_001,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_id bulunamadı
FRL_002,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Yabancı anahtar (foreign key),false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),route_id bulunamadı
FRL_003,Spec,Kritik,EVET,Spec/GTFS_SPEC/HIGH,Spec/GTFS_SPEC/HIGH,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Enum / format kısıtı,false,korunur,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),origin_id geçersiz
