rule_id	evidence	severity	class	label	gtfs_file	corpus_feeds_with_file	file_anchor	suppressed_by	suppressor_fired	emit_sites	message
BKR_003		Yuksek	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	prior_notice_start_time yalnızca prior_notice_start_day ile kullanılabilir
BKR_004		Yuksek	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül	BKR_016	no	1	Anlık rezervasyonda prior_notice alanları yasak
BKR_005		Orta	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül	BKR_016	no	1	prior_notice_duration_max yalnızca booking_type=1 ile geçerli (booking_type=0/2 ile yasak)
BKR_007		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	modül	BKR_016	no	1	booking_type=1 için prior_notice_duration_min zorunlu
BKR_008		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	modül	BKR_016	no	1	booking_type=2 için prior_notice_last_day zorunlu
BKR_009		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	modül	BKR_016	no	1	booking_type=2 için prior_notice_last_time zorunlu
BKR_010		Yuksek	Spec	SELECTION_BIAS	booking_rules.txt	18	modül			1	prior_notice_start_day belirtilmişse prior_notice_start_time zorunlu
BKR_011		Yuksek	Interop	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	prior_notice_last_day > prior_notice_start_day: rezervasyon penceresi geçersiz
BKR_012		Orta	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül	BKR_016	no	1	booking_type=2 iken prior_notice_duration_min yasak
BKR_013		Yuksek	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	prior_notice_last_time yalnızca prior_notice_last_day ile kullanılabilir
BKR_014		Yuksek	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül	BKR_016	no	1	prior_notice_service_id yalnızca booking_type=2 ile kullanılabilir
BKR_015		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	grup			1	prior_notice_service_id bulunamadı (calendar/calendar_dates)
BKR_016		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	modül			1	booking_type eksik veya geçersiz
BKR_017		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	grup	BKR_019	no	1	pickup_booking_rule_id bulunamadı (booking_rules)
BKR_018		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	grup	BKR_019	no	1	drop_off_booking_rule_id bulunamadı (booking_rules)
BKR_019		Kritik	Spec	SELECTION_BIAS	booking_rules.txt	18	modül			2	booking_rule_id eksik veya yineleniyor
BKR_020		Orta	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	booking_url geçersiz
BKR_021		Dusuk	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	info_url geçersiz
BKR_022		Dusuk	Quality	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	phone_number geçersiz
BKR_023		Orta	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül			4	prior_notice sayı alanı tam sayı değil
BKR_024		Orta	Spec	PREDICATE_SUSPECT	booking_rules.txt	18	modül			1	booking_type=1 ve duration_max varken prior_notice_start_day yasak
CAL_001	MEASURED 2026-08-15 (#127): correct. Duplicated calendar row on mdb-3141 fires it; duplicate EMPTY service_id does not, and CAL_022 reports that root instead.	Kritik	Spec	PREDICATE_SUSPECT	calendar.txt	213	grup			1	service_id yineleniyor
CAL_002	MEASURED 2026-08-15 (#131): correct. monday=9 on mdb-3141 fires it with no side effects.	Kritik	Spec	PREDICATE_SUSPECT	calendar.txt	213	modül			2	Takvim gün alanı geçersiz değer
CAL_003		Kritik	Spec	SELECTION_BIAS	calendar.txt	213	modül			2	start_date eksik veya geçersiz format
CAL_004		Kritik	Spec	SELECTION_BIAS	calendar.txt	213	modül			2	end_date eksik veya geçersiz format
CAL_022		Kritik	Spec	SELECTION_BIAS	calendar.txt	213	modül			1	service_id eksik
CAL_025		Kritik	Spec	SELECTION_BIAS	calendar.txt	213	grup			1	Takvim gün alanı boş (değer verilmemiş)
CLD_001		Kritik	Spec	SELECTION_BIAS	calendar_dates.txt	191	modül			1	service_id eksik
CLD_002		Kritik	Spec	SELECTION_BIAS	calendar_dates.txt	191	modül			2	date eksik veya geçersiz format
CLD_003		Kritik	Spec	SELECTION_BIAS	calendar_dates.txt	191	modül			3	exception_type eksik veya geçersiz
CLD_005		Kritik	Quality	PREDICATE_SUSPECT	calendar_dates.txt	191	modül	CLD_003	no	1	Tarih makul yıl aralığı dışında
DQ_009		Bilgi	Quality	SELECTION_BIAS	calendar_dates.txt	191	grup			1	Seferlerde durak zamanı yok
DQ_012		Dusuk	Quality	PREDICATE_SUSPECT	calendar_dates.txt	191	grup			1	Çok fazla acente, agency_id kullanılmıyor
DQ_022		Yuksek	Quality	PREDICATE_SUSPECT	calendar_dates.txt	191	grup			1	Durakların %80'inden fazlası aynı stop_name değerini paylaşıyor — yer tutucu/test verisi
FAR_001	MEASURED 2026-08-15 (#127): correct. Duplicated fare_attributes row on mdb-1996 fires it; duplicate EMPTY fare_id does not, and FAR_012 reports that root instead.	Kritik	Spec	PREDICATE_SUSPECT	fare_attributes.txt	79	grup			1	fare_id yineleniyor
FAR_002		Kritik	Spec	SELECTION_BIAS	fare_attributes.txt	79	modül			2	price eksik veya geçersiz
FAR_003		Kritik	Spec	SELECTION_BIAS	fare_attributes.txt	79	modül			1	currency_type eksik
FAR_004	MEASURED 2026-08-15 (#131): correct. payment_method=9 on mdb-1996 fires it with no side effects.	Kritik	Spec	PREDICATE_SUSPECT	fare_attributes.txt	79	modül			1	payment_method geçersiz
FAR_008		Kritik	Spec	SELECTION_BIAS	fare_attributes.txt	79	grup			1	agency_id bulunamadı
FAR_011		Kritik	Spec	SELECTION_BIAS	fare_attributes.txt	79	modül			1	payment_method eksik
FAR_012		Kritik	Spec	SELECTION_BIAS	fare_attributes.txt	79	modül			1	fare_id eksik
FIN_001		Kritik	Spec	SELECTION_BIAS	feed_info.txt	155	modül			1	feed_publisher_name eksik
FIN_003		Kritik	Spec	SELECTION_BIAS	feed_info.txt	155	modül			1	feed_lang eksik
FIN_006		Yuksek	Spec	PREDICATE_SUSPECT	feed_info.txt	155	modül			1	feed_end_date geçersiz format (geçmiş tarih için FIN_010 kullanın)
FIN_009		Dusuk	Spec	PREDICATE_SUSPECT	feed_info.txt	155	modül			1	feed_contact_url geçersiz
FIN_012	MEASURED 2026-08-15 by a full 242-feed run with the current binary: genuinely zero. Previously this was unmeasured rather than measured, because rule_stats.csv predates the rule; the silence is now a real observation.	Dusuk	Spec	POST_BASELINE	feed_info.txt	155	modül			1	feed_start_date feed_end_date'den sonra
FLG_001		Kritik	Spec	THIN_FEATURE	fare_leg_rules.txt	4	grup	FPD_001	no	1	fare_product_id bulunamadı
FLG_002		Kritik	Spec	THIN_FEATURE	fare_leg_rules.txt	4	grup	NET_001	no	1	network_id bulunamadı
FLG_003		Kritik	Spec	THIN_FEATURE	fare_leg_rules.txt	4	grup	ARS_001	no	1	from_area_id bulunamadı
FLG_004		Kritik	Spec	THIN_FEATURE	fare_leg_rules.txt	4	grup	ARS_001	no	1	to_area_id bulunamadı
FLG_005		Kritik	Spec	THIN_FEATURE	fare_leg_rules.txt	4	grup			1	from_timeframe_group_id bulunamadı
FLG_006		Kritik	Spec	THIN_FEATURE	fare_leg_rules.txt	4	grup			1	to_timeframe_group_id bulunamadı
FLG_007		Orta	Spec	THIN_FEATURE	fare_leg_rules.txt	4	modül			1	rule_priority geçersiz
FLJ_001		Kritik	Spec	CROSS_FILE						1	from_network_id eksik veya bulunamadı
FLJ_002		Kritik	Spec	CROSS_FILE						1	to_network_id eksik veya bulunamadı
FLJ_003		Kritik	Spec	CROSS_FILE						1	from_stop_id eksik veya bulunamadı
FLJ_004		Kritik	Spec	CROSS_FILE						1	to_stop_id eksik veya bulunamadı
FMD_001		Kritik	Spec	THIN_FEATURE	fare_media.txt	3	grup			1	fare_media_id yineleniyor
FMD_002		Kritik	Spec	THIN_FEATURE	fare_media.txt	3	modül			3	fare_media_type eksik veya geçersiz
FMD_003		Dusuk	Quality	THIN_FEATURE	fare_media.txt	3	modül			1	TransitCard/MobileApp için fare_media_name tavsiye edilir
FMD_004		Kritik	Spec	THIN_FEATURE	fare_media.txt	3	grup			1	fare_media_id boş
FPD_001		Kritik	Spec	THIN_FEATURE	fare_products.txt	4	grup			1	fare_products bileşik anahtarı yineleniyor
FPD_002		Kritik	Spec	THIN_FEATURE	fare_products.txt	4	modül			2	amount eksik veya negatif
FPD_003		Kritik	Spec	THIN_FEATURE	fare_products.txt	4	modül			1	currency geçersiz ISO 4217 kodu
FPD_004		Kritik	Spec	THIN_FEATURE	fare_products.txt	4	grup	FMD_001	no	1	fare_media_id bulunamadı
FPD_005		Kritik	Spec	THIN_FEATURE	fare_products.txt	4	grup	RCT_001	no	1	rider_category_id bulunamadı
FPD_007		Dusuk	Spec	THIN_FEATURE	fare_products.txt	4	modül			1	amount para biriminin ISO 4217 ondalık basamak sayısını taşımıyor
FRL_007		Orta	Quality	CROSS_FILE						1	Ücret kuralı mantıksal tutarsızlık
FRQ_001		Kritik	Spec	SELECTION_BIAS	frequencies.txt	55	modül	TRP_001	yes	2	trip_id bulunamadı
FRQ_002	MEASURED 2026-08-15 (#131): correct. A malformed start_time on mdb-1914 (3909 frequency rows) fires it with no side effects.	Kritik	Spec	PREDICATE_SUSPECT	frequencies.txt	55	modül			2	start_time geçersiz
FRQ_003	MEASURED 2026-08-15 (#131): correct. A malformed end_time on mdb-1914 fires it with no side effects.	Kritik	Spec	PREDICATE_SUSPECT	frequencies.txt	55	modül			2	end_time geçersiz
FRQ_004		Kritik	Spec	SELECTION_BIAS	frequencies.txt	55	modül			2	headway_secs eksik veya geçersiz
FTR_001		Kritik	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			3	fare_transfer_type eksik veya geçersiz
FTR_002		Kritik	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	grup			1	from_leg_group_id bulunamadı
FTR_003		Kritik	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	grup			1	to_leg_group_id bulunamadı
FTR_004		Kritik	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	grup	FPD_001	no	1	fare_product_id bulunamadı
FTR_005		Kritik	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			2	duration_limit_type geçersiz
FTR_006		Orta	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			2	duration_limit geçersiz
FTR_007		Orta	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			1	duration_limit_type duration_limit olmadan tanımlı
FTR_008		Orta	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			2	transfer_count geçersiz
FTR_009		Orta	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			1	leg grupları aynıyken transfer_count zorunlu
FTR_010		Orta	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			1	leg grupları farklıyken transfer_count tanımlanamaz
FTR_011		Orta	Spec	THIN_FEATURE	fare_transfer_rules.txt	2	modül			1	duration_limit tanımlı ama duration_limit_type eksik
GEO_015		Orta	Quality	CROSS_FILE						1	Durak koordinatları Japonya sınırları dışında (feed_lang: ja)
GEO_018		Yuksek	Analytics	CROSS_FILE						1	Tüm feed durağları 200m yarıçap içinde — test/yer tutucu veri
GEO_019		Orta	Quality	CROSS_FILE						1	Durak koordinatları tam sayı (ondalık basamak yok) — düşük hassasiyetli veya yer tutucu
GEO_022		Yuksek	Quality	CROSS_FILE						1	Durak enlemi kutba aşırı yakın (|lat|>89) — olası koordinat hatası
GGL_002		Dusuk	Interop	THIN_FEATURE	fare_products.txt	4	modül			2	ic_price (Google-özel) geçersiz değer
JPN_002		Yuksek	Interop	CROSS_FILE						2	GTFS-JP: jp_office_id office_jp.txt'te tanımlı değil
JPN_003		Yuksek	Interop	CROSS_FILE						1	GTFS-JP: agency_jp.agency_id agency.txt'te tanımlı değil
JPN_005		Yuksek	Interop	CROSS_FILE						1	GTFS-JP: office_jp.office_name boş (zorunlu alan)
JPN_006		Orta	Quality	CROSS_FILE						1	GTFS-JP: fare_attributes/fare_rules eksik (profil zorunlu kılar)
JPN_007		Orta	Quality	CROSS_FILE						1	GTFS-JP: feed_info.txt eksik (profil zorunlu kılar)
JPN_011		Yuksek	Interop	CROSS_FILE						1	GTFS-JP: tek işletici olsa bile agency_id zorunlu
LOC_001		Yuksek	Spec	CROSS_FILE						5	locations.geojson'da bilinmeyen veya geçersiz geometri tipi
LOC_002		Kritik	Spec	CROSS_FILE						1	Feature'da geometry null veya eksik — GTFS Flex gerektiriyor
LOC_003		Kritik	Spec	CROSS_FILE						1	Feature'da 'id' property eksik — stop_times çapraz referansı için zorunlu
LOC_004		Orta	Spec	CROSS_FILE						1	Polygon ring kapalı değil (ilk != son nokta)
LOC_005		Dusuk	Quality	CROSS_FILE						1	FeatureCollection boş — hiç feature yok
LOC_007		Orta	Spec	CROSS_FILE						1	FeatureCollection içinde yinelenen 'id' değeri — Flex referansı belirsizleşir
LOC_008		Orta	Spec	CROSS_FILE						1	 değil
LOC_009		Orta	Spec	CROSS_FILE						1	Feature 'properties' nesnesi eksik
LOC_010		Kritik	Spec	CROSS_FILE						1	Geometry 'coordinates' eksik veya dizi değil — bölge geometrisi çözümlenemez
LOC_011		Yuksek	Spec	CROSS_FILE						1	Poligon geçersiz: ring kendini kesiyor veya delik dışarıda
LVL_001	MEASURED 2026-08-15 (#127): correct. Duplicated levels row on mdb-3357 fires it; duplicate EMPTY level_id does not, and LVL_008 reports that root instead.	Kritik	Spec	PREDICATE_SUSPECT	levels.txt	9	grup			1	level_id yineleniyor
LVL_002	MEASURED 2026-08-15 (#131): correct. A non-numeric level_index on mdb-3357 fires it with no side effects.	Kritik	Spec	PREDICATE_SUSPECT	levels.txt	9	modül			1	level_index geçersiz
LVL_005		Orta	Quality	PREDICATE_SUSPECT	levels.txt	9	modül			1	level_name çok uzun
LVL_007		Kritik	Spec	SELECTION_BIAS	levels.txt	9	modül			1	level_index eksik
LVL_008		Kritik	Spec	SELECTION_BIAS	levels.txt	9	modül			1	level_id eksik
NET_001		Kritik	Spec	CROSS_FILE						1	network_id yineleniyor
NET_002		Kritik	Spec	CROSS_FILE						2	route_networks.network_id eksik veya bulunamadı
NET_003		Kritik	Spec	CROSS_FILE						2	route_networks.route_id eksik veya bulunamadı
NET_004		Kritik	Spec	CROSS_FILE						1	networks.txt'te network_id boş
OPR_014		Orta	Analytics	CROSS_FILE				STM_002	no	1	Ortalama aktarma süresi uzun
OPR_016		Bilgi	Analytics	CROSS_FILE				CAL_002,TRP_003	yes	1	Feed genelinde aktif servis yok
OPR_021		Yuksek	Analytics	CROSS_FILE						1	Takvim override çakışması: override ve base eş zamanlı aktif
OPR_022		Yuksek	Analytics	CROSS_FILE						1	Takvim override uygulanmamış: override gününde base servis çalışıyor
OPR_023		Orta	Analytics	CROSS_FILE						1	Takvim override boşluğu: pencere içinde hiçbir servis aktif değil
OPR_025		Yuksek	Analytics	CROSS_FILE						1	Feed genelinde ortalama sefer süresi 60 saniyeden kısa — veri kalitesi sorunu
PTH_001	MEASURED 2026-08-15 (#130): correct. Duplicated pathways row on mdb-3357 fires it with no side effects.	Kritik	Spec	PREDICATE_SUSPECT	pathways.txt	10	grup			1	pathway_id yineleniyor
PTH_002		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	grup	STP_001,STP_009	yes	1	from_stop_id bulunamadı
PTH_003		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	grup	STP_001,STP_009	yes	1	to_stop_id bulunamadı
PTH_004		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	modül			1	pathway_mode eksik veya geçersiz
PTH_005		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	modül			1	is_bidirectional eksik
PTH_006		Orta	Spec	PREDICATE_SUSPECT	pathways.txt	10	modül			1	length geçersiz
PTH_010		Dusuk	Spec	PREDICATE_SUSPECT	pathways.txt	10	modül			1	min_width geçersiz
PTH_013		Bilgi	Analytics	PREDICATE_SUSPECT	pathways.txt	10	grup	PTH_002,PTH_003,PTH_012,STP_027	yes	1	Erişilebilir yol analizi
PTH_014		Kritik	Quality	PREDICATE_SUSPECT	pathways.txt	10	grup			1	Geçit istasyon sınırını aşıyor
PTH_015		Orta	Analytics	PREDICATE_SUSPECT	pathways.txt	10	grup	PTH_002,PTH_003	no	1	Geçit hedefi erişilemeyen durakta
PTH_016		Yuksek	Spec	PREDICATE_SUSPECT	pathways.txt	10	modül	PTH_005	no	1	Çıkış kapısı çift yönlü tanımlanmış
PTH_017		Orta	Spec	PREDICATE_SUSPECT	pathways.txt	10	modül			1	max_slope sayı değil
PTH_018		Dusuk	Quality	PREDICATE_SUSPECT	pathways.txt	10	modül			1	signposted_as çok uzun
PTH_019		Orta	Quality	PREDICATE_SUSPECT	pathways.txt	10	grup			1	Generic node tek pathway'e bağlı (dead-end)
PTH_020		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	modül			1	pathway_id eksik
PTH_021		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	modül			1	from_stop_id eksik
PTH_022		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	modül			1	to_stop_id eksik
PTH_023		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	modül			1	pathway_mode eksik
PTH_024		Kritik	Spec	SELECTION_BIAS	pathways.txt	10	modül			1	is_bidirectional eksik
PTH_026	MEASURED 2026-08-15 (#130): correct. Repointing a pathway endpoint at an existing station (location_type=1) on mdb-3357 fires it; a fabricated id was avoided because that would test the FK rule, not the endpoint-type rule. Falsified by disabling the location_type check.	Kritik	Spec	PREDICATE_SUSPECT	pathways.txt	10	grup			1	Pathway uç noktası istasyon
PTH_027		Orta	Spec	PREDICATE_SUSPECT	pathways.txt	10	modül			2	stair_count geçersiz (sıfır veya tam sayı değil)
PTH_028		Dusuk	Quality	PREDICATE_SUSPECT	pathways.txt	10	modül			1	max_slope yürüme yolu dışında kullanılmış
PTH_030		Dusuk	Spec	PREDICATE_SUSPECT	pathways.txt	10	grup			1	Boarding area'sı olan platforma pathway atanmış
PTH_031	MEASURED 2026-08-15 (#131): correct. NO corpus feed carries a stops.stop_access column at all, so this rule and STP_043 can only ever be exercised by a mutation that creates the column. On mdb-2933 the column is added with value 1 on a platform that a pathway ends at, and PTH_031 fires. Two measurements shaped the test: the first attempt targeted a station, where stop_access is Conditionally Forbidden, so STP_043 fired instead and the neighbouring rule caught the wrong mutation; and of six pathway feeds only mdb-2933 and mdb-990 have any pathway endpoint that is a platform at all.	Kritik	Spec	PREDICATE_SUSPECT	pathways.txt	10	grup			1	Pathway uç noktası sokaktan erişilen durak (stop_access=1)
RCT_001		Kritik	Spec	THIN_FEATURE	rider_categories.txt	4	grup			1	rider_category_id yineleniyor
RCT_002		Kritik	Spec	THIN_FEATURE	rider_categories.txt	4	modül			1	rider_category_name eksik
RCT_003		Kritik	Spec	THIN_FEATURE	rider_categories.txt	4	modül			2	is_default_fare_category geçersiz
RCT_004		Orta	Quality	THIN_FEATURE	rider_categories.txt	4	modül			2	min_age veya max_age geçersiz (GTFS uzantı alanı — resmî spec'te yok)
RCT_005		Orta	Quality	THIN_FEATURE	rider_categories.txt	4	modül			1	max_age min_age'den küçük
RCT_007		Dusuk	Spec	THIN_FEATURE	rider_categories.txt	4	modül			1	eligibility_url geçersiz
RCT_008		Kritik	Spec	THIN_FEATURE	rider_categories.txt	4	grup			1	rider_category_id boş
RTS_006		Orta	Spec	PREDICATE_SUSPECT	routes.txt	240	modül			1	route_color geçersiz hex renk
RTS_007		Orta	Spec	PREDICATE_SUSPECT	routes.txt	240	modül			1	route_text_color geçersiz hex renk
RTS_013		Dusuk	Spec	PREDICATE_SUSPECT	routes.txt	240	modül			1	continuous_pickup geçersiz
RTS_018		Dusuk	Spec	PREDICATE_SUSPECT	routes.txt	240	modül			1	continuous_drop_off geçersiz
RTS_024		Dusuk	Spec	PREDICATE_SUSPECT	routes.txt	240	modül			2	route_cemv_support geçersiz
RTS_028		Yuksek	Spec	PREDICATE_SUSPECT	routes.txt	240	grup			1	Flex pencereli rotada continuous_pickup/drop_off yasak
RTS_029		Dusuk	Spec	PREDICATE_SUSPECT	routes.txt	240	modül			1	route_sort_order geçersiz
SAR_001		Kritik	Spec	CROSS_FILE				ARS_001	no	1	area_id bulunamadı
SAR_002		Kritik	Spec	CROSS_FILE						1	stop_id bulunamadı
SAR_003		Kritik	Spec	CROSS_FILE						1	stop_areas'ta area_id boş
SAR_004		Kritik	Spec	CROSS_FILE						1	stop_areas'ta stop_id boş
SHP_001		Kritik	Spec	SELECTION_BIAS	shapes.txt	199	modül			1	shape_id eksik
SHP_002		Kritik	Spec	SELECTION_BIAS	shapes.txt	199	modül			3	shape_pt_lat eksik veya geçersiz
SHP_003		Kritik	Spec	SELECTION_BIAS	shapes.txt	199	modül	SHP_002	no	3	shape_pt_lon eksik veya geçersiz
SHP_004		Kritik	Spec	SELECTION_BIAS	shapes.txt	199	modül			2	shape_pt_sequence eksik veya geçersiz
SHP_005	MEASURED 2026-08-15 (#127): correct. Real-feed mutation on mdb-2927 (decreasing shape_dist_traveled) fires it; equality deliberately does not, because SHP_028/SHP_029/SHP_020 already measure that. Open question is classification, not predicate.	Kritik	Spec	PREDICATE_SUSPECT	shapes.txt	199	grup			1	shape_dist_traveled geriye gidiyor
STM_002		Kritik	Spec	SELECTION_BIAS	stop_times.txt	239	grup	ARC_004,STP_001	yes	1	stop_id bulunamadı
STM_003	MEASURED 2026-08-15 (#129): correct. Malformed arrival_time on mdb-1903 fires it. Silence is selection bias, not a blind spot - the success branch is already proven by STM_012/036/035 firing on the corpus, so only the failure branch was in doubt.	Kritik	Spec	PREDICATE_SUSPECT	stop_times.txt	239	modül			1	arrival_time geçersiz format
STM_004	MEASURED 2026-08-15 (#129): correct. Malformed departure_time on mdb-1903 fires it. STM_015 does not follow, and that asymmetry is intended - the spec requires arrival_time at the first and last stop, with no matching clause for departure_time.	Kritik	Spec	PREDICATE_SUSPECT	stop_times.txt	239	modül	STM_003	no	1	departure_time geçersiz format
STM_005		Kritik	Spec	SELECTION_BIAS	stop_times.txt	239	modül	ARC_013	no	2	stop_sequence eksik veya geçersiz
STM_006		Kritik	Spec	SELECTION_BIAS	stop_times.txt	239	modül	ARC_013	no	1	stop_id eksik (stop_times)
